ddd,Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average,L4,L8,StdDev
RB,David Johnson,12.5,17.5,7.1,17.1,12.6,2.7,4.4,6.8,X,1.8,10.6,10.9,20,17.3,47.9,21.7,8.9,13.74,23.95,17.39,10.94
RB,T.J. Yeldon,9.7,11.3,6.2,15.9,17.3,X,22.4,X,13.1,11.7,11.2,12.2,23.6,7.3,X,X,X,13.49,7.30,13.20,5.42
RB,Darren McFadden,4.5,7.2,9.5,3.1,16.8,X,27.2,17.3,16.2,8.8,20.9,11.6,10.9,14.1,16.3,10.8,18.5,13.36,14.93,13.99,6.29
RB,Lamar Miller,8.5,9.2,9.5,4.6,X,22.8,X,14.4,33.1,21.3,7.5,4.3,14.8,20.9,4.4,17.7,7.3,13.35,12.58,12.28,8.39
RB,Latavius Murray,15,17.7,24.9,9.1,8.7,X,15.6,15.9,10.5,12.7,8.8,9.2,19.7,2.7,9,22.7,9.6,13.24,11.00,11.80,5.93
RB,Jonathan Stewart,12.1,6.9,5.2,5,X,21.6,15.5,14.3,7.8,15.1,21.4,10.7,19.3,15.9,X,X,X,13.14,15.90,16.48,5.77
RB,Lance Dunbar,15,8.3,23.5,5.4,X,X,X,X,X,X,X,X,X,X,X,X,X,13.05,0.00,0.00,8.04
RB,Justin Forsett,9.6,12,6.9,18,30,17.1,13.4,8.4,X,10.4,2.6,X,X,X,X,X,X,12.84,0.00,6.50,7.58
RB,DeMarco Murray,18,10.5,X,6.8,25,24.6,9,X,28.1,17.9,12.1,3,2.4,5.7,0.3,14.1,11.9,12.63,8.00,8.43,8.64
RB,Joseph Randle,13.7,7.5,30.5,8.6,11.3,X,2.4,X,X,X,X,X,X,X,X,X,X,12.33,0.00,0.00,9.68
RB,Bilal Powell,9.8,9.4,14.5,2.2,X,0.9,X,X,X,X,13.9,5.5,24.8,19.2,20.9,14,X,12.28,18.03,16.38,7.62
RB,Frank Gore,5.1,6.1,22.4,12.7,15.8,11.4,12.5,12.2,17.2,X,12,5.7,18.4,6.9,6.9,23.5,7.6,12.28,11.23,11.57,5.87
RB,Marshawn Lynch,17.4,9.2,3.3,X,X,12.4,21.2,10.2,X,12,X,X,X,X,X,X,X,12.24,0.00,12.00,5.78
RB,Carlos Hyde,35.2,10.1,7.1,3.2,16.7,8,4,X,X,X,X,X,X,X,X,X,X,12.04,0.00,0.00,11.15
RB,DuJuan Harris,X,X,X,X,X,X,X,X,X,X,X,X,X,3.2,X,9.4,23.3,11.97,11.97,11.97,10.29
RB,Karlos Williams,11.5,11.7,20,16,X,X,X,X,26,12,1.1,0.5,X,X,4.1,16.7,11.7,11.94,10.83,7.68,7.82
RB,Ryan Mathews,11.8,X,22.8,X,18.6,5.6,21.1,X,12.7,12,X,X,X,6.2,6.1,9.8,2.8,11.77,6.23,7.38,6.65
RB,Thomas Rawls,0.5,X,13.4,5.7,25.9,0.8,6.1,1,X,1.9,43.5,14.1,23.3,4.4,X,X,X,11.72,4.40,17.44,13.25
RB,Giovani Bernard,14.8,19.9,11.3,12.2,15.1,14.3,X,5.4,9.6,12.9,25.6,8.7,4.5,9.7,9.1,8.3,5.8,11.70,8.23,10.58,5.49
RB,LeGarrette Blount,X,0.4,28.2,X,7.4,23.4,X,8.4,21.9,15.7,7.1,2.7,5.4,5.3,X,X,X,11.45,5.30,7.24,9.32
RB,James White,X,X,7.4,X,X,X,6,0.3,X,2.1,18.6,2.6,30.9,14,20.7,14.2,8.8,11.42,14.43,13.99,9.34
RB,Charcandrick West,X,X,X,3.1,4.6,3.9,23.9,22.2,X,31.1,8.4,X,6.4,5.4,16.5,7.1,4.2,11.40,8.30,11.30,9.53
RB,Charles Sims,5.5,8.2,13.2,14.3,17.6,X,7.6,7.6,8.2,5.1,15.9,6.9,9.7,13.4,10.2,20.7,17.9,11.38,15.55,12.48,4.84
RB,Theo Riddick,11.7,8.6,14.6,8.6,21.3,10.8,7.8,10.7,X,5.6,13.6,17.8,8.1,13.2,5,15.3,7.3,11.25,10.20,10.74,4.50
RB,Chris Johnson,3.7,7.2,31,12.4,13.3,5.5,21.2,11.9,X,5.8,7.5,1.7,X,X,X,X,X,11.02,0.00,5.00,8.58
RB,Ronnie Hillman,4.1,3.4,8.6,20.8,3.6,17.5,X,18.5,0.1,13.1,14.4,12.9,5.6,13.1,3.8,11.2,23.7,10.90,12.95,12.23,7.05
RB,Jeremy Hill,18.3,3.1,2.1,24,3.5,13.9,X,7.8,6.2,5,16.5,11,15.8,4.4,14.1,8.1,19.5,10.83,11.53,11.80,6.76
RB,Eddie Lacy,17.9,0.9,11.7,10.3,4.5,4,X,11.7,X,X,14.6,25.9,1.1,24.8,2.3,15.8,6.1,10.83,12.25,12.94,8.27
RB,Rashad Jennings,11.2,4.4,8.7,17.2,10.7,10.3,1.9,10.5,5.7,7.1,X,4.8,4.3,12.2,19.7,15.6,28.6,10.81,19.03,13.19,6.86
RB,James Starks,0.2,13.6,6.1,5.9,7.6,27.7,X,3.8,24.2,15.6,5.4,12,11,26.3,5.6,0.1,7.2,10.77,9.80,10.40,8.71
RB,Mike Gillislee,X,X,X,X,X,X,X,X,X,X,X,X,5.6,10,16.3,18.9,1.8,10.52,11.75,10.52,7.14
RB,Duke Johnson,2.2,4.3,9.5,26.6,13.7,8.6,16,9.1,11.8,6.8,X,10,7.2,9.4,13.5,7.1,8.5,10.27,9.63,8.93,5.57
